objectid,name.x,surf_spot.x,normalized_employment,normalized_hotels,normalized_airports,social_added,social_subindex
269,NA,Ingleses,0.443347932,0.3818181818,0,0.8251661138,0.3815746812
270,NA,Praia Brava,0.443347932,0.3818181818,0,0.8251661138,0.3815746812
271,NA,Lambe lambe,0.443347932,0.0363636364,0,0.4797115684,0.2218290181
272,NA,Ponta Do Rapa,0.443347932,0.0363636364,0,0.4797115684,0.2218290181
273,NA,Tingua,0.2567195962,0,0,0.2567195962,0.1187127009
274,NA,Palmas,0.3177897837,0,0,0.3177897837,0.1469528782
275,NA,Mariscal,0.3341068486,0.0181818182,0,0.3522886668,0.1629059089
276,NA,Quatro Ilhas,0.3341068486,0.0181818182,0,0.3522886668,0.1629059089
277,NA,Bombinhas,0.3341068486,0.0181818182,0,0.3522886668,0.1629059089
278,NA,Bombas,0.2227378991,0.0181818182,0,0.2409197173,0.1114064948
279,NA,Meia Praia,0.318975301,0,0,0.318975301,0.1475010871
280,NA,Itapema,0.318975301,0,0,0.318975301,0.1475010871
281,NA,Ponta do Cabeço,0.318975301,0,0,0.318975301,0.1475010871
282,NA,Mocó,0.2962028269,0.0181818182,0,0.3143846451,0.1453782684
283,NA,Estaleirinho,0.270933479,0.0909090909,0,0.3618425699,0.1673238406
284,NA,Estaleiro (reef),0.270933479,0.2181818182,0,0.4891152972,0.226177506
285,NA,Balneário Camboriú,0.2269689377,0.2909090909,0,0.5178780286,0.2394780159
286,NA,Parcel,0.2269689377,0.2909090909,0,0.5178780286,0.2394780159
287,NA,Praia dos Amores,0.2837111721,0.2909090909,0,0.574620263,0.2657168539
288,NA,Praia Brava,0.2837111721,0.2909090909,1,1.574620263,0.7281385104
289,NA,Morcego,0.2837111721,0.2909090909,1,1.574620263,0.7281385104
290,NA,Atalaia,0.2269689377,0.2727272727,1,1.4996962104,0.6934920059
291,NA,Pracinha,0.2269689377,0.2181818182,1,1.4451507559,0.6682690065
292,NA,Navegantes,0.2465467394,0.1636363636,1,1.410183103,0.6520992065
293,NA,Garrincha,0.0805110629,0.0909090909,1,1.1714201538,0.541690048
294,NA,Gravatá (1 e 2),0.0805110629,0.0181818182,1,1.0986928811,0.5080593821
295,NA,Gravatá,0.0805110629,0.0181818182,1,1.0986928811,0.5080593821
296,NA,Quilombo,0.0631028148,0.0181818182,0,0.081284633,0.0375877746
297,NA,Quilombo (reef),0.0631028148,0.0181818182,0,0.081284633,0.0375877746
298,NA,molhe de Piçarras,0.0631028148,0.0181818182,0,0.081284633,0.0375877746
299,NA,Laje do Jacques,0.0483727537,0.0181818182,0,0.0665545719,0.0307762754
300,NA,Syphodys,0.0593463981,0.0363636364,0,0.0957100345,0.0442583927
301,NA,ilha do grants,0.0593463981,0.0363636364,0,0.0957100345,0.0442583927
302,NA,barra de Itajuba,0.0593463981,0.0363636364,0,0.0957100345,0.0442583927
303,NA,Praia do Sol,0.0593463981,0.0181818182,0,0.0775282163,0.0358507262
304,NA,Praia do Tabuleiro,0.0593463981,0.0181818182,0,0.0775282163,0.0358507262
305,NA,Canoas,0.0593463981,0.0181818182,0,0.0775282163,0.0358507262
306,NA,Barrinha,0.0791285308,0.0181818182,0,0.097310349,0.0449984128
307,NA,Foz do Itapocu,0.0945930932,0.0363636364,0,0.1309567296,0.0605572278
308,NA,Praia do Bispo,0.0917187754,0,0,0.0917187754,0.0424127481
309,NA,Picama,0.0917187754,0,0,0.0917187754,0.0424127481
310,NA,"Praia Grande, São Francisco do Sul",0.1341695457,0.0727272727,1,1.2068968184,0.55809522600000006
311,NA,Praia da Saudade,0.1341695457,0.0727272727,1,1.2068968184,0.55809522600000006
312,NA,Sao Francisco do Sul,0.0670847728,0.0727272727,1,1.1398120455,0.5270737742
313,NA,Píer da Petrobras,0.0670847728,0.0727272727,1,1.1398120455,0.5270737742
314,NA,Sumidouro,0.0670847728,0.0727272727,1,1.1398120455,0.5270737742
315,NA,Praia do Forte,0.0670847728,0.0727272727,1,1.1398120455,0.5270737742
316,NA,Terceira Pedra,0,0.0181818182,0,0.0181818182,0.0084076665
317,NA,Barra do sai mirim,0.0362083513,0.0181818182,0,0.0543901695,0.0251511923
318,NA,Barrinha,0.054312527,0.0181818182,0,0.0724943452,0.0335229552
319,NA,Praia Brava Guaratuba,0.174128294,0.0545454545,1,1.2286737485,0.5681653501
320,NA,Direitas de Guaratuba,0.174128294,0.0545454545,1,1.2286737485,0.5681653501
321,NA,Pico de Matinhos,0.2360231362,0.0545454545,0,0.2905685907,0.134365209
322,NA,Balneario Costa azul,0.2362914136,0,0,0.2362914136,0.1092662669
323,NA,Ilha do Mel,0.1564142356,0,0,0.1564142356,0.0723293299
324,NA,Farolete,0.1564142356,0,0,0.1564142356,0.0723293299
325,NA,"Guarau, Peruibe SP",0.0437445139,0.0181818182,0,0.0619263321,0.0286360771
326,NA,Pier de Mongaguá,0.0412725725,0,0,0.0412725725,0.0190853313
327,NA,Tombo,0.2530700984,0.0727272727,0,0.3257973711,0.15065576
328,NA,Astúrias,0.2530700984,0.0727272727,0,0.3257973711,0.15065576
329,NA,Pitangueiras Beach,0.2530700984,0.0727272727,0,0.3257973711,0.15065576
330,NA,porta do sol,0.1457667691,0.0909090909,0,0.23667586,0.1094440432
331,NA,Itarare,0.1457667691,0.0909090909,0,0.23667586,0.1094440432
332,NA,Santos,0.1457667691,0.0909090909,0,0.23667586,0.1094440432
333,NA,Praia de Pernambuco,0.1687133989,0,0,0.1687133989,0.0780167294
334,NA,Bonete,0.9470155444,0,0,0.9470155444,0.4379204968
335,NA,Sao Pedro,0.1687133989,0,0,0.1687133989,0.0780167294
336,NA,Praia de Iporanga,0.1687133989,0,0,0.1687133989,0.0780167294
337,NA,Taguaíba,0.1687133989,0,0,0.1687133989,0.0780167294
338,NA,praia branca,0.1687133989,0,0,0.1687133989,0.0780167294
339,NA,Castelhanos,0.9470155444,0,0,0.9470155444,0.4379204968
340,NA,Enseada - Bertioga,0.1687133989,0,0,0.1687133989,0.0780167294
341,NA,Santiago,0.2383083938,0,0,0.2383083938,0.1101989622
342,NA,Guaecá,0.4745441107,0,0,0.4745441107,0.2194394738
343,NA,Riviera de São Lourenço,0,0,0,0,0
344,NA,Paúba,0.2383083938,0,0,0.2383083938,0.1101989622
345,NA,Itaguaré,0,0,0,0,0
346,NA,Maresias,0.2383083938,0,0,0.2383083938,0.1101989622
347,NA,Camburi,0.2383083938,0,0,0.2383083938,0.1101989622
348,NA,Baleia,0.2383083938,0,0,0.2383083938,0.1101989622
349,NA,Guaratuba,0.101880947,0,0,0.101880947,0.0471119563
350,NA,Juquehy,0.1588722625,0,0,0.1588722625,0.0734659748
351,NA,Massaguaçu,0.1895860939,0.0727272727,0,0.2623133666,0.1212993815
352,NA,Simão,0.2843791408,0.0727272727,0,0.3571064135,0.1651337393
353,NA,Praia do sape,0.1895860939,0.0727272727,0,0.2623133666,0.1212993815
354,NA,Lagoinha,0.1895860939,0,0,0.1895860939,0.0876687156
